DATE,LMUNRRTTRUM156S
2006-12-01,2.29152993949939
2007-01-01,2.22625580836665
2007-02-01,2.13957739335042
2007-03-01,2.14436609683973
2007-04-01,2.07040572620109
2007-05-01,2.06072086032628
2007-06-01,2.04319173478188
2007-07-01,2.07738109758037
2007-08-01,2.08589242597287
2007-09-01,2.1380744126841
2007-10-01,2.13630913465493
2007-11-01,2.08276795905883
2007-12-01,1.99505735018286
2008-01-01,2.02735989734825
2008-02-01,1.93590012328428
2008-03-01,1.84108595312161
2008-04-01,1.86361349814328
2008-05-01,1.75681558726263
2008-06-01,1.83874909109618
2008-07-01,1.77508460522384
2008-08-01,1.786206423365
2008-09-01,1.74008342161727
2008-10-01,1.74325946829812
2008-11-01,1.79163840780886
2008-12-01,2.00020352343068
2009-01-01,2.23268922310968
2009-02-01,2.53615487373709
2009-03-01,2.74103715017521
2009-04-01,2.86103451265054
2009-05-01,2.85330731095304
2009-06-01,2.83586563797734
2009-07-01,2.87197279080523
2009-08-01,2.88544549763948
2009-09-01,2.83891634568342
2009-10-01,2.84604289157574
2009-11-01,2.79514011692366
2009-12-01,2.80239364876958
2010-01-01,2.93772696899516
2010-02-01,2.94005622935184
2010-03-01,2.84585802834719
2010-04-01,2.76390442346345
2010-05-01,2.65264946287273
2010-06-01,2.43339022107516
2010-07-01,2.36841356105591
2010-08-01,2.28332477340615
2010-09-01,2.23421145743028
2010-10-01,2.14482758323515
2010-11-01,2.09366441676207
2010-12-01,2.10197287400492
2011-01-01,2.07354823888586
2011-02-01,2.05407557250135
2011-03-01,2.03056810051301
2011-04-01,1.99529257657386
2011-05-01,1.96065335230631
2011-06-01,1.91741972181406
2011-07-01,1.89755628048118
2011-08-01,1.83735626504806
2011-09-01,1.80090686077763
2011-10-01,1.75267335609913
2011-11-01,1.71055757882011
2011-12-01,1.70473701117945
2012-01-01,1.6578986296185
2012-02-01,1.609302510524
2012-03-01,1.59508097599885
2012-04-01,1.53174123288931
2012-05-01,1.51941454101132
2012-06-01,1.51183942447684
2012-07-01,1.49290619586373
2012-08-01,1.48436346806151
2012-09-01,1.46974176103275
2012-10-01,1.43965964976821
2012-11-01,1.4281345414451
2012-12-01,1.4057063583099
2013-01-01,1.34914518958402
2013-02-01,1.31094207264224
2013-03-01,1.27059497927573
2013-04-01,1.28245504775478
2013-05-01,1.25771100815574
2013-06-01,1.32085597818606
2013-07-01,1.2551720962016
2013-08-01,1.27186040373445
2013-09-01,1.31631910446341
2013-10-01,1.23383559405709
2013-11-01,1.28212203426207
2013-12-01,1.2132459366828
2014-01-01,1.15199450819029
2014-02-01,1.1644386737409
2014-03-01,1.07695692411187
2014-04-01,1.12264355478086
2014-05-01,1.15634434977948
2014-06-01,1.16783571929574
2014-07-01,1.17679618292751
2014-08-01,1.16780704505961
2014-09-01,1.16456679525496
2014-10-01,1.17954785568651
2014-11-01,1.16835249038744
2014-12-01,1.17230602278481
2015-01-01,1.17111530178834
2015-02-01,1.17563127854264
2015-03-01,1.19613266142346
2015-04-01,1.22788967803029
2015-05-01,1.26258382484654
2015-06-01,1.28917548059133
2015-07-01,1.31057979667981
2015-08-01,1.30159588371369
2015-09-01,1.30429941791325
2015-10-01,1.31405063510267
2015-11-01,1.30745640977213
2015-12-01,1.30617331959584
2016-01-01,1.29793815843888
2016-02-01,1.28157091812284
2016-03-01,1.27843070115894
2016-04-01,1.27780727311432
2016-05-01,1.27739315042086
2016-06-01,1.27313504256029
2016-07-01,1.266953119992
2016-08-01,1.23722940469369
2016-09-01,1.22520977478136
2016-10-01,1.2126009744701
2016-11-01,1.18286131329149
2016-12-01,1.16546702995523
2017-01-01,1.13790161127196
2017-02-01,1.10431256574257
2017-03-01,1.08655123710493
2017-04-01,1.05753682226195
2017-05-01,1.07151275177436
2017-06-01,1.08669071447478
2017-07-01,1.08769451618621
2017-08-01,1.07100579326252
2017-09-01,1.06118052243228
2017-10-01,1.04927552173114
2017-11-01,1.03674560010942
2017-12-01,1.01803778264789
2018-01-01,0.982083650383852
2018-02-01,0.931653911762094
2018-03-01,0.917038137478158
2018-04-01,0.895304840744405
2018-05-01,0.919196786496339
2018-06-01,0.939569016955278
2018-07-01,0.947175085651699
2018-08-01,0.946211658833135
2018-09-01,0.953030273010097
2018-10-01,0.952277832043518
2018-11-01,0.942606367076592
2018-12-01,0.910850812564836
2019-01-01,0.93566609827005
2019-02-01,0.941760560308693
2019-03-01,0.980035747372657
2019-04-01,0.990424818588935
2019-05-01,0.9979709715121
2019-06-01,1.00462532075758
2019-07-01,1.00542802792733
