Date,Value
2013-04-30,0.0323
2013-05-01,0.0321
2013-05-02,0.0319
2013-05-03,0.0321
2013-05-04,0.0321
2013-05-05,0.0321
2013-05-06,0.0322
2013-05-07,0.0322
2013-05-08,0.0322
2013-05-09,0.0321
2013-05-10,0.032
2013-05-11,0.032
2013-05-12,0.032
2013-05-13,0.0319
2013-05-14,0.0319
2013-05-15,0.0319
2013-05-16,0.0318
2013-05-17,0.0318
2013-05-18,0.0318
2013-05-19,0.0318
2013-05-20,0.0318
2013-05-21,0.032
2013-05-22,0.032
2013-05-23,0.0318
2013-05-24,0.0318
2013-05-25,0.0318
2013-05-26,0.0318
2013-05-27,0.0319
2013-05-28,0.0319
2013-05-29,0.0317
2013-05-30,0.0316
2013-05-31,0.0315
2013-06-01,0.0315
2013-06-02,0.0315
2013-06-03,0.0313
2013-06-04,0.0314
2013-06-05,0.0313
2013-06-06,0.0311
2013-06-07,0.0311
2013-06-08,0.0311
2013-06-09,0.0311
2013-06-10,0.031
2013-06-11,0.031
2013-06-12,0.0309
2013-06-13,0.031
2013-06-14,0.0313
2013-06-15,0.0313
2013-06-16,0.0313
2013-06-17,0.0315
2013-06-18,0.0315
2013-06-19,0.0312
2013-06-20,0.0309
2013-06-21,0.0302
2013-06-22,0.0302
2013-06-23,0.0302
2013-06-24,0.0305
2013-06-25,0.0305
2013-06-26,0.0305
2013-06-27,0.0304
2013-06-28,0.0305
2013-06-29,0.0305
2013-06-30,0.0305
2013-07-01,0.0304
2013-07-02,0.0303
2013-07-03,0.0301
2013-07-04,0.0302
2013-07-05,0.0301
2013-07-06,0.0301
2013-07-07,0.0301
2013-07-08,0.03
2013-07-09,0.0301
2013-07-10,0.0303
2013-07-11,0.0303
2013-07-12,0.0307
2013-07-13,0.0307
2013-07-14,0.0307
2013-07-15,0.0306
2013-07-16,0.0307
2013-07-17,0.0308
2013-07-18,0.031
2013-07-19,0.0308
2013-07-20,0.0308
2013-07-21,0.0308
2013-07-22,0.0309
2013-07-23,0.0309
2013-07-24,0.0309
2013-07-25,0.0308
2013-07-26,0.0306
2013-07-27,0.0306
2013-07-28,0.0306
2013-07-29,0.0305
2013-07-30,0.0305
2013-07-31,0.0303
2013-08-01,0.0304
2013-08-02,0.0302
2013-08-03,0.0302
2013-08-04,0.0302
2013-08-05,0.0304
2013-08-06,0.0304
2013-08-07,0.0303
2013-08-08,0.0303
2013-08-09,0.0304
2013-08-10,0.0304
2013-08-11,0.0304
2013-08-12,0.0304
2013-08-13,0.0303
2013-08-14,0.0302
2013-08-15,0.0302
2013-08-16,0.0304
2013-08-17,0.0304
2013-08-18,0.0304
2013-08-19,0.0304
2013-08-20,0.0303
2013-08-21,0.0304
2013-08-22,0.0302
2013-08-23,0.0302
2013-08-24,0.0302
2013-08-25,0.0302
2013-08-26,0.0303
2013-08-27,0.0302
2013-08-28,0.0301
2013-08-29,0.0301
2013-08-30,0.0301
2013-08-31,0.0301
2013-09-01,0.0301
2013-09-02,0.03
2013-09-03,0.0299
2013-09-04,0.0298
2013-09-05,0.03
2013-09-06,0.0299
2013-09-07,0.0299
2013-09-08,0.0299
2013-09-09,0.03
2013-09-10,0.0301
2013-09-11,0.0303
2013-09-12,0.0305
2013-09-13,0.0306
2013-09-14,0.0306
2013-09-15,0.0306
2013-09-16,0.0308
2013-09-17,0.0309
2013-09-18,0.031
2013-09-19,0.0315
2013-09-20,0.0316
2013-09-21,0.0316
2013-09-22,0.0316
2013-09-23,0.0314
2013-09-24,0.0314
2013-09-25,0.0314
2013-09-26,0.0311
2013-09-27,0.0309
2013-09-28,0.0309
2013-09-29,0.0309
2013-09-30,0.0309
2013-10-01,0.0309
2013-10-02,0.031
2013-10-03,0.031
2013-10-04,0.0311
2013-10-05,0.0311
2013-10-06,0.0311
2013-10-07,0.0311
2013-10-08,0.031
2013-10-09,0.0309
2013-10-10,0.0309
2013-10-11,0.0311
2013-10-12,0.0311
2013-10-13,0.0311
2013-10-14,0.031
2013-10-15,0.031
2013-10-16,0.031
2013-10-17,0.0312
2013-10-18,0.0314
2013-10-19,0.0314
2013-10-20,0.0314
2013-10-21,0.0314
2013-10-22,0.0313
2013-10-23,0.0316
2013-10-24,0.0315
2013-10-25,0.0315
2013-10-26,0.0315
2013-10-27,0.0315
2013-10-28,0.0314
2013-10-29,0.0313
2013-10-30,0.0311
2013-10-31,0.0312
2013-11-01,0.0311
2013-11-02,0.0311
2013-11-03,0.0311
2013-11-04,0.0308
2013-11-05,0.0309
2013-11-06,0.0307
2013-11-07,0.0309
2013-11-08,0.0308
2013-11-09,0.0308
2013-11-10,0.0308
2013-11-11,0.0306
2013-11-12,0.0304
2013-11-13,0.0304
2013-11-14,0.0305
2013-11-15,0.0305
2013-11-16,0.0305
2013-11-17,0.0305
2013-11-18,0.0307
2013-11-19,0.0307
2013-11-20,0.0306
2013-11-21,0.0304
2013-11-22,0.0303
2013-11-23,0.0303
2013-11-24,0.0303
2013-11-25,0.0305
2013-11-26,0.0304
2013-11-27,0.0303
2013-11-28,0.0301
2013-11-29,0.0302
2013-11-30,0.0302
2013-12-01,0.0302
2013-12-02,0.0302
2013-12-03,0.0301
2013-12-04,0.0301
2013-12-05,0.0302
2013-12-06,0.0303
2013-12-07,0.0303
2013-12-08,0.0303
2013-12-09,0.0305
2013-12-10,0.0306
2013-12-11,0.0306
2013-12-12,0.0305
2013-12-13,0.0305
2013-12-14,0.0305
2013-12-15,0.0305
2013-12-16,0.0304
2013-12-17,0.0303
2013-12-18,0.0303
2013-12-19,0.0304
2013-12-20,0.0303
2013-12-21,0.0303
2013-12-22,0.0303
2013-12-23,0.0303
2013-12-24,0.0306
2013-12-25,0.0306
2013-12-26,0.0306
2013-12-27,0.0306
2013-12-28,0.0306
2013-12-29,0.0306
2013-12-30,0.0306
2013-12-31,0.0305
2014-01-01,0.0304
2014-01-02,0.0304
2014-01-03,0.0302
2014-01-04,0.0302
2014-01-05,0.0302
2014-01-06,0.0301
2014-01-07,0.0301
2014-01-08,0.0302
2014-01-09,0.0302
2014-01-10,0.0301
2014-01-11,0.0301
2014-01-12,0.0301
2014-01-13,0.0302
2014-01-14,0.03
2014-01-15,0.03
2014-01-16,0.0299
2014-01-17,0.0299
2014-01-18,0.0299
2014-01-19,0.0299
2014-01-20,0.0297
2014-01-21,0.0296
2014-01-22,0.0294
2014-01-23,0.0294
2014-01-24,0.0293
2014-01-25,0.0293
2014-01-26,0.0293
2014-01-27,0.028999999999999998
2014-01-28,0.0288
2014-01-29,0.0289
2014-01-30,0.0285
2014-01-31,0.0286
2014-02-01,0.0286
2014-02-02,0.0286
2014-02-03,0.0284
2014-02-04,0.0282
2014-02-05,0.0285
2014-02-06,0.0287
2014-02-07,0.0288
2014-02-08,0.0288
2014-02-09,0.0288
2014-02-10,0.0288
2014-02-11,0.0288
2014-02-12,0.0288
2014-02-13,0.0287
2014-02-14,0.0285
2014-02-15,0.0285
2014-02-16,0.0285
2014-02-17,0.0285
2014-02-18,0.0284
2014-02-19,0.0282
2014-02-20,0.0279
2014-02-21,0.027999999999999997
2014-02-22,0.027999999999999997
2014-02-23,0.027999999999999997
2014-02-24,0.0281
2014-02-25,0.0281
2014-02-26,0.027999999999999997
2014-02-27,0.0277
2014-02-28,0.0278
2014-03-01,0.0278
2014-03-02,0.0278
2014-03-03,0.0273
2014-03-04,0.0274
2014-03-05,0.0277
2014-03-06,0.0277
2014-03-07,0.0276
2014-03-08,0.0276
2014-03-09,0.0276
2014-03-10,0.0275
2014-03-11,0.0275
2014-03-12,0.0274
2014-03-13,0.0274
2014-03-14,0.0273
2014-03-15,0.0273
2014-03-16,0.0273
2014-03-17,0.0273
2014-03-18,0.0275
2014-03-19,0.0276
2014-03-20,0.0276
2014-03-21,0.0275
2014-03-22,0.0275
2014-03-23,0.0275
2014-03-24,0.0276
2014-03-25,0.0277
2014-03-26,0.0282
2014-03-27,0.0281
2014-03-28,0.0281
2014-03-29,0.0281
2014-03-30,0.0281
2014-03-31,0.027999999999999997
2014-04-01,0.0285
2014-04-02,0.0285
2014-04-03,0.0282
2014-04-04,0.0281
2014-04-05,0.0281
2014-04-06,0.0281
2014-04-07,0.0283
2014-04-08,0.0281
2014-04-09,0.027999999999999997
2014-04-10,0.0281
2014-04-11,0.0281
2014-04-12,0.0281
2014-04-13,0.0281
2014-04-14,0.027999999999999997
2014-04-15,0.0278
2014-04-16,0.0276
2014-04-17,0.0277
2014-04-18,0.0282
2014-04-19,0.0282
2014-04-20,0.0282
2014-04-21,0.0281
2014-04-22,0.027999999999999997
2014-04-23,0.027999999999999997
2014-04-24,0.027999999999999997
2014-04-25,0.0279
2014-04-26,0.0279
2014-04-27,0.0279
2014-04-28,0.0278
2014-04-29,0.0279
2014-04-30,0.027999999999999997
2014-05-01,0.0281
2014-05-02,0.0281
2014-05-03,0.0281
2014-05-04,0.0281
2014-05-05,0.0278
2014-05-06,0.027999999999999997
2014-05-07,0.0282
2014-05-08,0.0286
2014-05-09,0.0285
2014-05-10,0.0285
2014-05-11,0.0285
2014-05-12,0.0284
2014-05-13,0.0285
2014-05-14,0.0287
2014-05-15,0.0288
2014-05-16,0.0287
2014-05-17,0.0287
2014-05-18,0.0287
2014-05-19,0.0288
2014-05-20,0.0289
2014-05-21,0.028999999999999998
2014-05-22,0.0291
2014-05-23,0.0291
2014-05-24,0.0291
2014-05-25,0.0291
2014-05-26,0.0293
2014-05-27,0.0292
2014-05-28,0.028999999999999998
2014-05-29,0.0289
2014-05-30,0.0288
2014-05-31,0.0288
2014-06-01,0.0288
2014-06-02,0.0286
2014-06-03,0.0285
2014-06-04,0.0285
2014-06-05,0.0286
2014-06-06,0.0288
2014-06-07,0.0288
2014-06-08,0.0288
2014-06-09,0.028999999999999998
2014-06-10,0.0291
2014-06-11,0.0291
2014-06-12,0.0291
2014-06-13,0.0291
2014-06-14,0.0291
2014-06-15,0.0291
2014-06-16,0.028999999999999998
2014-06-17,0.0289
2014-06-18,0.0287
2014-06-19,0.0291
2014-06-20,0.0291
2014-06-21,0.0291
2014-06-22,0.0291
2014-06-23,0.028999999999999998
2014-06-24,0.0293
2014-06-25,0.0296
2014-06-26,0.0296
2014-06-27,0.0296
2014-06-28,0.0296
2014-06-29,0.0296
2014-06-30,0.0296
2014-07-01,0.0294
2014-07-02,0.0291
2014-07-03,0.0292
2014-07-04,0.0291
2014-07-05,0.0291
2014-07-06,0.0291
2014-07-07,0.0291
2014-07-08,0.028999999999999998
2014-07-09,0.0292
2014-07-10,0.0295
2014-07-11,0.0294
2014-07-12,0.0294
2014-07-13,0.0294
2014-07-14,0.0292
2014-07-15,0.0291
2014-07-16,0.0291
2014-07-17,0.0289
2014-07-18,0.0283
2014-07-19,0.0283
2014-07-20,0.0283
2014-07-21,0.0284
2014-07-22,0.0284
2014-07-23,0.0286
2014-07-24,0.0287
2014-07-25,0.0285
2014-07-26,0.0285
2014-07-27,0.0285
2014-07-28,0.0284
2014-07-29,0.0281
2014-07-30,0.0279
2014-07-31,0.0281
2014-08-01,0.027999999999999997
2014-08-02,0.027999999999999997
2014-08-03,0.027999999999999997
2014-08-04,0.027999999999999997
2014-08-05,0.0279
2014-08-06,0.0277
2014-08-07,0.0276
2014-08-08,0.0275
2014-08-09,0.0275
2014-08-10,0.0275
2014-08-11,0.0276
2014-08-12,0.0278
2014-08-13,0.0276
2014-08-14,0.0278
2014-08-15,0.0277
2014-08-16,0.0277
2014-08-17,0.0277
2014-08-18,0.0277
2014-08-19,0.0277
2014-08-20,0.0276
2014-08-21,0.0275
2014-08-22,0.0278
2014-08-23,0.0278
2014-08-24,0.0278
2014-08-25,0.0277
2014-08-26,0.0277
2014-08-27,0.0277
2014-08-28,0.0276
2014-08-29,0.0272
2014-08-30,0.0272
2014-08-31,0.0272
2014-09-01,0.027000000000000003
2014-09-02,0.0268
2014-09-03,0.0267
2014-09-04,0.0271
2014-09-05,0.027000000000000003
2014-09-06,0.027000000000000003
2014-09-07,0.027000000000000003
2014-09-08,0.0271
2014-09-09,0.027000000000000003
2014-09-10,0.0269
2014-09-11,0.0268
2014-09-12,0.0266
2014-09-13,0.0266
2014-09-14,0.0266
2014-09-15,0.0265
2014-09-16,0.0261
2014-09-17,0.0261
2014-09-18,0.0259
2014-09-19,0.026000000000000002
2014-09-20,0.026000000000000002
2014-09-21,0.026000000000000002
2014-09-22,0.026000000000000002
2014-09-23,0.0258
2014-09-24,0.0259
2014-09-25,0.0262
2014-09-26,0.026000000000000002
2014-09-27,0.026000000000000002
2014-09-28,0.026000000000000002
2014-09-29,0.0255
2014-09-30,0.0253
2014-10-01,0.0253
2014-10-02,0.0252
2014-10-03,0.0253
2014-10-04,0.0253
2014-10-05,0.0253
2014-10-06,0.025
2014-10-07,0.0252
2014-10-08,0.025
2014-10-09,0.025
2014-10-10,0.0249
2014-10-11,0.0249
2014-10-12,0.0249
2014-10-13,0.0248
2014-10-14,0.0247
2014-10-15,0.0244
2014-10-16,0.0247
2014-10-17,0.0245
2014-10-18,0.0245
2014-10-19,0.0245
2014-10-20,0.0245
2014-10-21,0.0243
2014-10-22,0.0244
2014-10-23,0.0242
2014-10-24,0.024
2014-10-25,0.024
2014-10-26,0.024
2014-10-27,0.0239
2014-10-28,0.0237
2014-10-29,0.0236
2014-10-30,0.0232
2014-10-31,0.0241
2014-11-01,0.0241
2014-11-02,0.0241
2014-11-03,0.0232
2014-11-04,0.0229
2014-11-05,0.0229
2014-11-06,0.0223
2014-11-07,0.0213
2014-11-08,0.0213
2014-11-09,0.0213
2014-11-10,0.0214
2014-11-11,0.0218
2014-11-12,0.0216
2014-11-13,0.0222
2014-11-14,0.0214
2014-11-15,0.0214
2014-11-16,0.0214
2014-11-17,0.0212
2014-11-18,0.0212
2014-11-19,0.0213
2014-11-20,0.0213
2014-11-21,0.0217
2014-11-22,0.0217
2014-11-23,0.0217
2014-11-24,0.0219
2014-11-25,0.0222
2014-11-26,0.0216
2014-11-27,0.0211
2014-11-28,0.0206
2014-11-29,0.0206
2014-11-30,0.0206
2014-12-01,0.0196
2014-12-02,0.0197
2014-12-03,0.0186
2014-12-04,0.019
2014-12-05,0.0184
2014-12-06,0.0184
2014-12-07,0.0184
2014-12-08,0.0189
2014-12-09,0.0186
2014-12-10,0.0183
2014-12-11,0.0182
2014-12-12,0.0177
2014-12-13,0.0177
2014-12-14,0.0177
2014-12-15,0.0172
2014-12-16,0.0164
2014-12-17,0.0146
2014-12-18,0.0166
2014-12-19,0.0161
2014-12-20,0.0161
2014-12-21,0.0161
2014-12-22,0.0172
2014-12-23,0.0178
2014-12-24,0.0183
2014-12-25,0.0186
2014-12-26,0.0188
2014-12-27,0.0188
2014-12-28,0.0188
2014-12-29,0.0185
2014-12-30,0.0169
2014-12-31,0.0179
2015-01-01,0.0172
2015-01-02,0.0172
2015-01-03,0.0172
2015-01-04,0.0172
2015-01-05,0.0168
2015-01-06,0.0166
2015-01-07,0.0157
2015-01-08,0.0159
2015-01-09,0.0167
2015-01-10,0.0167
2015-01-11,0.0167
2015-01-12,0.0163
2015-01-13,0.0158
2015-01-14,0.0153
2015-01-15,0.0155
2015-01-16,0.0153
2015-01-17,0.0153
2015-01-18,0.0153
2015-01-19,0.0154
2015-01-20,0.0154
2015-01-21,0.0153
2015-01-22,0.0153
2015-01-23,0.0156
2015-01-24,0.0156
2015-01-25,0.0156
2015-01-26,0.0156
2015-01-27,0.0145
2015-01-28,0.0148
2015-01-29,0.0147
2015-01-30,0.0145
2015-01-31,0.0145
2015-02-01,0.0145
2015-02-02,0.0144
2015-02-03,0.0146
2015-02-04,0.0153
2015-02-05,0.0147
2015-02-06,0.015
2015-02-07,0.015
2015-02-08,0.015
2015-02-09,0.015
2015-02-10,0.0152
2015-02-11,0.0153
2015-02-12,0.0153
2015-02-13,0.0153
2015-02-14,0.0153
2015-02-15,0.0153
2015-02-16,0.0158
2015-02-17,0.0158
2015-02-18,0.016
2015-02-19,0.0162
2015-02-20,0.0162
2015-02-21,0.0162
2015-02-22,0.0162
2015-02-23,0.0161
2015-02-24,0.0157
2015-02-25,0.0158
2015-02-26,0.0163
2015-02-27,0.0163
2015-02-28,0.0163
2015-03-01,0.0163
2015-03-02,0.0162
2015-03-03,0.016
2015-03-04,0.0162
2015-03-05,0.0161
2015-03-06,0.0164
2015-03-07,0.0164
2015-03-08,0.0164
2015-03-09,0.0165
2015-03-10,0.0164
2015-03-11,0.016
2015-03-12,0.0162
2015-03-13,0.0163
2015-03-14,0.0163
2015-03-15,0.0163
2015-03-16,0.016
2015-03-17,0.016
2015-03-18,0.0162
2015-03-19,0.0168
2015-03-20,0.0166
2015-03-21,0.0166
2015-03-22,0.0166
2015-03-23,0.0169
2015-03-24,0.017
2015-03-25,0.0173
2015-03-26,0.0174
2015-03-27,0.0174
2015-03-28,0.0174
2015-03-29,0.0174
2015-03-30,0.0172
2015-03-31,0.0174
2015-04-01,0.0171
2015-04-02,0.0173
2015-04-03,0.0177
2015-04-04,0.0177
2015-04-05,0.0177
2015-04-06,0.0177
2015-04-07,0.018000000000000002
2015-04-08,0.0182
2015-04-09,0.0186
2015-04-10,0.0193
2015-04-11,0.0193
2015-04-12,0.0193
2015-04-13,0.0185
2015-04-14,0.0192
2015-04-15,0.0196
2015-04-16,0.0201
2015-04-17,0.02
2015-04-18,0.02
2015-04-19,0.02
2015-04-20,0.0193
2015-04-21,0.0187
2015-04-22,0.0186
2015-04-23,0.0192
2015-04-24,0.0197
2015-04-25,0.0197
2015-04-26,0.0197
2015-04-27,0.0196
2015-04-28,0.0192
2015-04-29,0.0195
2015-04-30,0.0196
2015-05-01,0.0193
2015-05-02,0.0193
2015-05-03,0.0193
2015-05-04,0.0193
2015-05-05,0.0192
2015-05-06,0.0198
2015-05-07,0.0196
2015-05-08,0.02
2015-05-09,0.02
2015-05-10,0.02
2015-05-11,0.0198
2015-05-12,0.0195
2015-05-13,0.0199
2015-05-14,0.0203
2015-05-15,0.02
2015-05-16,0.02
2015-05-17,0.02
2015-05-18,0.0202
2015-05-19,0.0203
2015-05-20,0.0201
2015-05-21,0.0201
2015-05-22,0.02
2015-05-23,0.02
2015-05-24,0.02
2015-05-25,0.02
2015-05-26,0.02
2015-05-27,0.0196
2015-05-28,0.0192
2015-05-29,0.019
2015-05-30,0.019
2015-05-31,0.019
2015-06-01,0.0191
2015-06-02,0.0187
2015-06-03,0.0189
2015-06-04,0.0184
2015-06-05,0.0178
2015-06-06,0.0178
2015-06-07,0.0178
2015-06-08,0.0178
2015-06-09,0.0179
2015-06-10,0.018000000000000002
2015-06-11,0.0184
2015-06-12,0.0182
2015-06-13,0.0182
2015-06-14,0.0182
2015-06-15,0.0181
2015-06-16,0.0183
2015-06-17,0.0186
2015-06-18,0.0186
2015-06-19,0.0187
2015-06-20,0.0187
2015-06-21,0.0187
2015-06-22,0.0185
2015-06-23,0.0185
2015-06-24,0.0186
2015-06-25,0.0184
2015-06-26,0.0183
2015-06-27,0.0183
2015-06-28,0.0183
2015-06-29,0.0181
2015-06-30,0.0179
