Date,GDP
2013-10-13,2172059533854.2793
2013-10-14,2170840737067.8774
2013-10-15,2169617058568.9575
2013-10-16,2168388507827.2134
2013-10-17,2167155094360.7388
2013-10-18,2165916827736.0283
2013-10-19,2164673717567.9768
2013-10-20,2163425773519.879
2013-10-21,2162173005303.43
2013-10-22,2160915422678.7256
2013-10-23,2159653035454.262
2013-10-24,2158385853486.9348
2013-10-25,2157113886682.041
2013-10-26,2155837144993.2773
2013-10-27,2154555638422.741
2013-10-28,2153269377020.9292
2013-10-29,2151978370886.74
2013-10-30,2150682630167.4712
2013-10-31,2149382165058.8213
2013-11-01,2148076985804.8892
2013-11-02,2146767102698.1736
2013-11-03,2145452526079.5737
2013-11-04,2144133266338.3896
2013-11-05,2142809333912.321
2013-11-06,2141480739287.468
2013-11-07,2140147492998.3315
2013-11-08,2138809605627.812
2013-11-09,2137467087807.2107
2013-11-10,2136119950216.2295
2013-11-11,2134768203582.9697
2013-11-12,2133411858683.9336
2013-11-13,2132050926344.0234
2013-11-14,2130685417436.5425
2013-11-15,2129315342883.193
2013-11-16,2127940713654.079
2013-11-17,2126561540767.7039
2013-11-18,2125177835290.9717
2013-11-19,2123789608339.1863
2013-11-20,2122396871076.0527
2013-11-21,2120999634713.6758
2013-11-22,2119597910512.5605
2013-11-23,2118191709781.6128
2013-11-24,2116781043878.138
2013-11-25,2115365924207.8425
2013-11-26,2113946362224.8325
2013-11-27,2112522369431.6152
2013-11-28,2111093957379.0974
2013-11-29,2109661137666.5864
2013-11-30,2108223921941.79
2013-12-01,2106782321900.8162
2013-12-02,2105336349288.1733
2013-12-03,2103886015896.7698
2013-12-04,2102431333567.9148
2013-12-05,2100972314191.3171
2013-12-06,2099508969705.087
2013-12-07,2098041312095.7336
2013-12-08,2096569353398.1675
2013-12-09,2095093105695.6992
2013-12-10,2093612581120.039
2013-12-11,2092127791851.2988
2013-12-12,2090638750117.9893
2013-12-13,2089145468197.0225
2013-12-14,2087647958413.7102
2013-12-15,2086146233141.7651
2013-12-16,2084640304803.2996
2013-12-17,2083130185868.8267
2013-12-18,2081615888857.2595
2013-12-19,2080097426335.9119
2013-12-20,2078574810920.4976
2013-12-21,2077048055275.1309
2013-12-22,2075517172112.3262
2013-12-23,2073982174192.998
2013-12-24,2072443074326.462
2013-12-25,2070899885370.4333
2013-12-26,2069352620231.0278
2013-12-27,2067801291862.7615
2013-12-28,2066245913268.5505
2013-12-29,2064686497499.712
2013-12-30,2063123057655.9624
2013-12-31,2061555606885.4194
2014-01-01,2059984158384.6006
2014-01-02,2058408725398.4236
2014-01-03,2056829321220.2068
2014-01-04,2055245959191.669
2014-01-05,2053658652702.9285
2014-01-06,2052067415192.505
2014-01-07,2050472260147.3174
2014-01-08,2048873201102.6858
2014-01-09,2047270251642.3303
2014-01-10,2045663425398.371
2014-01-11,2044052736051.3293
2014-01-12,2042438197330.1255
2014-01-13,2040819823012.0813
2014-01-14,2039197626922.918
2014-01-15,2037571622936.7578
2014-01-16,2035941824976.123
2014-01-17,2034308247011.9358
2014-01-18,2032670903063.5195
2014-01-19,2031029807198.5972
2014-01-20,2029384973533.2922
2014-01-21,2027736416232.1284
2014-01-22,2026084149508.0298
2014-01-23,2024428187622.321
2014-01-24,2022768544884.7266
2014-01-25,2021105235653.3718
2014-01-26,2019438274334.7817
2014-01-27,2017767675383.8823
2014-01-28,2016093453303.999
2014-01-29,2014415622646.859
2014-01-30,2012734198012.588
2014-01-31,2011049194049.7131
2014-02-01,2009360625455.1619
2014-02-02,2007668506974.2617
2014-02-03,2005972853400.7402
2014-02-04,2004273679576.7256
2014-02-05,2002571000392.7466
2014-02-06,2000864830787.7314
2014-02-07,1999155185749.0098
2014-02-08,1997442080312.3105
2014-02-09,1995725529561.7637
2014-02-10,1994005548629.899
2014-02-11,1992282152697.647
2014-02-12,1990555356994.3384
2014-02-13,1988825176797.7036
2014-02-14,1987091627433.8745
2014-02-15,1985354724277.382
2014-02-16,1983614482751.1587
2014-02-17,1981870918326.5361
2014-02-18,1980124046523.247
2014-02-19,1978373882909.424
2014-02-20,1976620443101.6006
2014-02-21,1974863742764.71
2014-02-22,1973103797612.0854
2014-02-23,1971340623405.4617
2014-02-24,1969574235954.9727
2014-02-25,1967804651119.153
2014-02-26,1966031884804.938
2014-02-27,1964255952967.6626
2014-02-28,1962476871611.0625
2014-03-01,1960694656787.2734
2014-03-02,1958909324596.832
2014-03-03,1957120891188.6743
2014-03-04,1955329372760.1372
2014-03-05,1953534785556.958
2014-03-06,1951737145873.2742
2014-03-07,1949936470051.6233
2014-03-08,1948132774482.9434
2014-03-09,1946326075606.573
2014-03-10,1944516389910.2507
2014-03-11,1942703733930.1157
2014-03-12,1940888124250.707
2014-03-13,1939069577504.9644
2014-03-14,1937248110374.2273
2014-03-15,1935423739588.2368
2014-03-16,1933596481925.1328
2014-03-17,1931766354211.4563
2014-03-18,1929933373322.1484
2014-03-19,1928097556180.551
2014-03-20,1926258919758.4055
2014-03-21,1924417481075.854
2014-03-22,1922573257201.4387
2014-03-23,1920726265252.1028
2014-03-24,1918876522393.189
2014-03-25,1917024045838.4404
2014-03-26,1915168852850.0012
2014-03-27,1913310960738.4153
2014-03-28,1911450386862.6265
2014-03-29,1909587148629.9795
2014-03-30,1907721263496.2192
2014-03-31,1905852748965.491
2014-04-01,1903981622590.3403
2014-04-02,1902107901971.713
2014-04-03,1900231604758.9548
2014-04-04,1898352748649.8123
2014-04-05,1896471351390.4326
2014-04-06,1894587430775.3623
2014-04-07,1892701004647.5493
2014-04-08,1890812090898.3406
2014-04-09,1888920707467.4849
2014-04-10,1887026872343.1296
2014-04-11,1885130603561.824
2014-04-12,1883231919208.5166
2014-04-13,1881330837416.557
2014-04-14,1879427376367.6943
2014-04-15,1877521554292.0789
2014-04-16,1875613389468.2603
2014-04-17,1873702900223.1895
2014-04-18,1871790104932.2168
2014-04-19,1869875022019.0938
2014-04-20,1867957669955.9714
2014-04-21,1866038067263.4016
2014-04-22,1864116232510.336
2014-04-23,1862192184314.1274
2014-04-24,1860265941340.5286
2014-04-25,1858337522303.6917
2014-04-26,1856406945966.1704
2014-04-27,1854474231138.9185
2014-04-28,1852539396681.2896
2014-04-29,1850602461501.038
2014-04-30,1848663444554.3179
2014-05-01,1846722364845.6846
2014-05-02,1844779241428.0925
2014-05-03,1842834093402.8977
2014-05-04,1840886939919.8555
2014-05-05,1838937800177.1223
2014-05-06,1836986693421.2542
2014-05-07,1835033638947.2078
2014-05-08,1833078656098.34
2014-05-09,1831121764266.4084
2014-05-10,1829162982891.5703
2014-05-11,1827202331462.3838
2014-05-12,1825239829515.8071
2014-05-13,1823275496637.1985
2014-05-14,1821309352460.317
2014-05-15,1819341416667.3218
2014-05-16,1817371708988.772
2014-05-17,1815400249203.6277
2014-05-18,1813427057139.2488
2014-05-19,1811452152671.3958
2014-05-20,1809475555724.2292
2014-05-21,1807497286270.31
2014-05-22,1805517364330.6
2014-05-23,1803535809974.4602
2014-05-24,1801552643319.6528
2014-05-25,1799567884532.34
2014-05-26,1797581553827.0842
2014-05-27,1795593671466.8486
2014-05-28,1793604257762.996
2014-05-29,1791613333075.29
2014-05-30,1789620917811.8945
2014-05-31,1787627032429.3735
2014-06-01,1785631697432.6914
2014-06-02,1783634933375.213
2014-06-03,1781636760858.7031
2014-06-04,1779637200533.3271
2014-06-05,1777636273097.6511
2014-06-06,1775633999298.6404
2014-06-07,1773630399931.6616
2014-06-08,1771625495840.4812
2014-06-09,1769619307917.266
2014-06-10,1767611857102.5835
2014-06-11,1765603164385.401
2014-06-12,1763593250803.086
2014-06-13,1761582137441.4072
2014-06-14,1759569845434.5327
2014-06-15,1757556395965.0315
2014-06-16,1755541810263.8723
2014-06-17,1753526109610.4246
2014-06-18,1751509315332.458
2014-06-19,1749491448806.143
2014-06-20,1747472531456.0493
2014-06-21,1745452584755.1475
2014-06-22,1743431630224.8088
2014-06-23,1741409689434.8042
2014-06-24,1739386784003.3057
2014-06-25,1737362935596.8848
2014-06-26,1735338165930.5132
2014-06-27,1733312496767.564
2014-06-28,1731285949919.81
2014-06-29,1729258547247.4238
2014-06-30,1727230310658.9795
2014-07-01,1725201262111.45
2014-07-02,1723171423610.2095
2014-07-03,1721140817209.0327
2014-07-04,1719109465010.0942
2014-07-05,1717077389163.9688
2014-07-06,1715044611869.6316
2014-07-07,1713011155374.4583
2014-07-08,1710977041974.2246
2014-07-09,1708942294013.1074
2014-07-10,1706906933883.6821
2014-07-11,1704870984026.9263
2014-07-12,1702834466932.2168
2014-07-13,1700797405137.331
2014-07-14,1698759821228.4468
2014-07-15,1696721737840.142
2014-07-16,1694683177655.3955
2014-07-17,1692644163405.585
2014-07-18,1690604717870.4907
2014-07-19,1688564863878.2908
2014-07-20,1686524624305.5654
2014-07-21,1684484022077.2944
2014-07-22,1682443080166.858
2014-07-23,1680401821596.0364
2014-07-24,1678360269435.0107
2014-07-25,1676318446802.3623
2014-07-26,1674276376865.072
2014-07-27,1672234082838.5225
2014-07-28,1670191587986.4946
2014-07-29,1668148915621.1719
2014-07-30,1666106089103.1365
2014-07-31,1664063131841.3716
2014-08-01,1662020067293.2603
2014-08-02,1659976918964.586
2014-08-03,1657933710409.5332
2014-08-04,1655890465230.686
2014-08-05,1653847207079.0288
2014-08-06,1651803959653.9463
2014-08-07,1649760746703.224
2014-08-08,1647717592023.0474
2014-08-09,1645674519458.002
2014-08-10,1643631552901.0742
2014-08-11,1641588716293.65
2014-08-12,1639546033625.5166
2014-08-13,1637503528934.8608
2014-08-14,1635461226308.27
2014-08-15,1633419149880.732
2014-08-16,1631377323835.6343
2014-08-17,1629335772404.7651
2014-08-18,1627294519868.3137
2014-08-19,1625253590554.8687
2014-08-20,1623213008841.419
2014-08-21,1621172799153.3545
2014-08-22,1619132985964.4648
2014-08-23,1617093593796.94
2014-08-24,1615054647221.3706
2014-08-25,1613016170856.7476
2014-08-26,1610978189370.4614
2014-08-27,1608940727478.3042
2014-08-28,1606903809944.4673
2014-08-29,1604867461581.5422
2014-08-30,1602831707250.5222
2014-08-31,1600796571860.7988
2014-09-01,1598762080370.166
2014-09-02,1596728257784.8164
2014-09-03,1594695129159.3438
2014-09-04,1592662719596.7417
2014-09-05,1590631054248.4043
2014-09-06,1588600158314.1265
2014-09-07,1586570057042.103
2014-09-08,1584540775728.9282
2014-09-09,1582512339719.5986
2014-09-10,1580484774407.5088
2014-09-11,1578458105234.4556
2014-09-12,1576432357690.6353
2014-09-13,1574407557314.644
2014-09-14,1572383729693.479
2014-09-15,1570360900462.5376
2014-09-16,1568339095305.6172
2014-09-17,1566318339954.916
2014-09-18,1564298660191.0317
2014-09-19,1562280081842.9631
2014-09-20,1560262630788.1091
2014-09-21,1558246332952.2688
2014-09-22,1556231214309.6414
2014-09-23,1554217300882.8264
2014-09-24,1552204618742.8247
2014-09-25,1550193194009.0361
2014-09-26,1548183052849.2612
2014-09-27,1546174221479.7012
2014-09-28,1544166726164.9573
2014-09-29,1542160593218.0308
2014-09-30,1540155849000.3242
2014-10-01,1538152519921.6394
2014-10-02,1536150632440.1792
2014-10-03,1534150213062.5457
2014-10-04,1532151288343.743
2014-10-05,1530153884887.1738
2014-10-06,1528158029344.6423
2014-10-07,1526163748416.3525
2014-10-08,1524171068850.9084
2014-10-09,1522180017445.3157
2014-10-10,1520190621044.978
2014-10-11,1518202906543.7021
2014-10-12,1516216900883.6924
2014-10-13,1514232631055.5554
2014-10-14,1512250124098.2974
2014-10-15,1510269407099.3247
2014-10-16,1508290507194.4443
2014-10-17,1506313451567.8635
2014-10-18,1504338267452.1897
2014-10-19,1502364982128.4304
2014-10-20,1500393622925.9946
2014-10-21,1498424217222.6895
2014-10-22,1496456792444.7246
2014-10-23,1494491376066.709
2014-10-24,1492527995611.6514
